"","dispersal","sig_niche","alpha","n_sp","rep"
"210",0.00215443469003188,0.1,"0.5",16,1
"211",0.00215443469003188,0.1,"1.5",10,1
"212",0.00215443469003188,0.1,"equal",9,1
"213",0.00215443469003188,0.1,"patch_dynamics",5,1
"214",0.00215443469003188,0.215443469003188,"0.5",23,1
"215",0.00215443469003188,0.215443469003188,"1.5",13,1
"216",0.00215443469003188,0.215443469003188,"equal",13,1
"217",0.00215443469003188,0.215443469003188,"patch_dynamics",10,1
"218",0.00215443469003188,0.464158883361278,"0.5",23,1
"219",0.00215443469003188,0.464158883361278,"1.5",12,1
"220",0.00215443469003188,0.464158883361278,"equal",16,1
"221",0.00215443469003188,0.464158883361278,"patch_dynamics",10,1
"222",0.00215443469003188,1,"0.5",20,1
"223",0.00215443469003188,1,"1.5",21,1
"224",0.00215443469003188,1,"equal",22,1
"225",0.00215443469003188,1,"patch_dynamics",9,1
"226",0.00215443469003188,2.15443469003188,"0.5",23,1
"227",0.00215443469003188,2.15443469003188,"1.5",17,1
"228",0.00215443469003188,2.15443469003188,"equal",25,1
"229",0.00215443469003188,2.15443469003188,"patch_dynamics",6,1
"230",0.00215443469003188,4.64158883361278,"0.5",23,1
"231",0.00215443469003188,4.64158883361278,"1.5",16,1
"232",0.00215443469003188,4.64158883361278,"equal",30,1
"233",0.00215443469003188,4.64158883361278,"patch_dynamics",2,1
"234",0.00215443469003188,10,"0.5",25,1
"235",0.00215443469003188,10,"1.5",13,1
"236",0.00215443469003188,10,"equal",29,1
"237",0.00215443469003188,10,"patch_dynamics",1,1
"238",0.00464158883361278,0.0215443469003188,"0.5",1,1
"239",0.00464158883361278,0.0215443469003188,"1.5",1,1
"240",0.00464158883361278,0.0215443469003188,"equal",1,1
"241",0.00464158883361278,0.0215443469003188,"patch_dynamics",1,1
"242",0.00464158883361278,0.0464158883361278,"0.5",15,1
"243",0.00464158883361278,0.0464158883361278,"1.5",7,1
"244",0.00464158883361278,0.0464158883361278,"equal",6,1
"245",0.00464158883361278,0.0464158883361278,"patch_dynamics",7,1
"246",0.00464158883361278,0.1,"0.5",22,1
"247",0.00464158883361278,0.1,"1.5",12,1
"248",0.00464158883361278,0.1,"equal",8,1
"249",0.00464158883361278,0.1,"patch_dynamics",8,1
"250",0.00464158883361278,0.215443469003188,"0.5",25,1
"251",0.00464158883361278,0.215443469003188,"1.5",9,1
"252",0.00464158883361278,0.215443469003188,"equal",10,1
"253",0.00464158883361278,0.215443469003188,"patch_dynamics",7,1
"254",0.00464158883361278,0.464158883361278,"0.5",28,1
"255",0.00464158883361278,0.464158883361278,"1.5",13,1
"256",0.00464158883361278,0.464158883361278,"equal",17,1
"257",0.00464158883361278,0.464158883361278,"patch_dynamics",5,1
"258",0.00464158883361278,1,"0.5",22,1
"259",0.00464158883361278,1,"1.5",13,1
"260",0.00464158883361278,1,"equal",17,1
"261",0.00464158883361278,1,"patch_dynamics",6,1
"262",0.00464158883361278,2.15443469003188,"0.5",18,1
"263",0.00464158883361278,2.15443469003188,"1.5",8,1
"264",0.00464158883361278,2.15443469003188,"equal",22,1
"265",0.00464158883361278,2.15443469003188,"patch_dynamics",1,1
