"","rep","dispersal","sig_niche","alpha","space_var_part_Space","space_var_part_both","space_var_part_Environment","space_var_part_Residual"
"1887","14","0.00215443469003188","0.0464158883361278","1.5",NA,NA,"NaN",NA
"1888","14","0.00215443469003188","0.1","0.5","0","0","0.285696146274372","0.758431837482748"
"1889","14","0.00215443469003188","0.1","1.5","0.011104235117004","0.0156746500471651","0.299612317487177","0.673608797348654"
"1890","14","0.00215443469003188","0.1","equal","0.0107958557118892","0","0.271933259877777","0.759692647158315"
"1891","14","0.00215443469003188","0.1","patch","0","0.000442553135026058","0.38896337825497","0.618986789020082"
"1892","14","0.00215443469003188","0.215443469003188","0.5","0.0145109193722194","0","0.310692862310839","0.675022913052009"
"1893","14","0.00215443469003188","0.215443469003188","1.5","0","0","0.295906373809358","0.73566506454795"
"1894","14","0.00215443469003188","0.215443469003188","equal","0","0.0154675782017402","0.260203532082207","0.756234723748817"
"1895","14","0.00215443469003188","0.215443469003188","patch","0.0441095272220613","0","0.31841639577571","0.706534980728091"
"1896","14","0.00215443469003188","0.464158883361278","0.5","0.0162863996859662","0","0.372118069444712","0.644229952143833"
"1897","14","0.00215443469003188","0.464158883361278","1.5","0","0","0.327366803282916","0.783990764653051"
"1898","14","0.00215443469003188","0.464158883361278","equal","0","0","0.420955103166459","0.68272285823861"
"1899","14","0.00215443469003188","0.464158883361278","patch","0","0","0.229136438782986","0.854324830915781"
"1900","14","0.00215443469003188","10","0.5","0","0","0.0170043318890993","1.03906248845025"
"1901","14","0.00215443469003188","10","1.5","0.149164653782617","0.00223032305303672","0","0.852851646681384"
"1902","14","0.00215443469003188","10","equal","0.0312148944255067","0","0.0252312970125858","0.958650367700271"
"1903","14","0.00215443469003188","10","patch","0","0.00605795358322259","0","1.19403956519203"
"1904","14","0.00215443469003188","1","0.5","0","0","0.164080215578056","0.88413610356559"
"1905","14","0.00215443469003188","1","1.5","0","0","0.105370919462855","0.983937208159405"
"1906","14","0.00215443469003188","1","equal","0","0","0.096905965857231","0.956804668017878"
"1907","14","0.00215443469003188","1","patch","0","0","0.0984113927641367","0.974650405940951"
"1908","14","0.00215443469003188","2.15443469003188","0.5","0","0","0.0401200611718937","0.9999895953923"
"1909","14","0.00215443469003188","2.15443469003188","1.5","0","0.00314426529676903","0","1.03310633182746"
"1910","14","0.00215443469003188","2.15443469003188","equal","0.0413669071225997","0.00554122473436491","0.00672000323986466","0.946371864903171"
"1911","14","0.00215443469003188","2.15443469003188","patch","0.0524077507723926","0","0.0107002087047203","0.938389356346376"
"1912","14","0.00215443469003188","4.64158883361278","0.5","0","0","0.00596149166241733","1.05461760181239"
"1913","14","0.00215443469003188","4.64158883361278","1.5","0","0.00465855086958133","0.02226429159997","1.03178479215554"
"1914","14","0.00215443469003188","4.64158883361278","equal","0","0","0.0119586553751989","1.00628128688177"
"1915","14","0.00215443469003188","4.64158883361278","patch","0.0576991669246886","0","0.0213871642095893","0.942947579068073"
"1916","14","0.00464158883361278","0.0464158883361278","0.5","0","0.00138767351003621","0.54039484831399","0.576560846730691"
"1917","14","0.00464158883361278","0.0464158883361278","equal","0","0.07617588342659","0.806585326074981","0.1983872170166"
"1918","14","0.00464158883361278","0.0464158883361278","patch",NA,NA,NA,NA
"1919","14","0.00464158883361278","0.1","0.5","0","0.0134866250198501","0.241752579326393","0.775871774201451"
"1920","14","0.00464158883361278","0.1","1.5","0.0271588029612084","0","0.222474082345567","0.757211587500371"
"1921","14","0.00464158883361278","0.1","equal","0.00080156134745446","0.0218198540608519","0.410487073492766","0.566891511098928"
"1922","14","0.00464158883361278","0.1","patch","0","0","0.217493699129417","0.812972314402039"
"1923","14","0.00464158883361278","0.215443469003188","0.5","0","0.00920147157458251","0.311058835028286","0.68015783431766"
"1924","14","0.00464158883361278","0.215443469003188","1.5","0.0105443991515306","0","0.511818156671962","0.494457282505485"
"1925","14","0.00464158883361278","0.215443469003188","equal","0","0","0.301853304092176","0.707788198729089"
"1926","14","0.00464158883361278","0.215443469003188","patch","0.043740437741338","0","0.362914385821302","0.657931383556487"
"1927","14","0.00464158883361278","0.464158883361278","0.5","0.0203632707787896","0","0.446552331382128","0.595974841220527"
"1928","14","0.00464158883361278","0.464158883361278","1.5","0.0414377150861059","0","0.652251298184995","0.339302262151639"
"1929","14","0.00464158883361278","0.464158883361278","equal","0.0203615726513136","0","0.218372327738568","0.791379748698596"
"1930","14","0.00464158883361278","0.464158883361278","patch","0","0","0.198225649723088","0.883782354591165"
"1931","14","0.00464158883361278","10","0.5","0.0525394712938162","0.00386745603710104","0","0.945637705866531"
"1932","14","0.00464158883361278","10","1.5","0.301023629210022","0.00735567090987765","0","0.694216648575203"
"1933","14","0.00464158883361278","10","equal","0","0","0.0375814733574944","0.985621648252754"
"1934","14","0.00464158883361278","10","patch","0","0","0.00704348011020661","1.04462522815112"
"1935","14","0.00464158883361278","1","0.5","0","0","0.177057320636911","0.845335172706889"
"1936","14","0.00464158883361278","1","1.5","0","0","0.637858828540642","0.569094362488182"
"1937","14","0.00464158883361278","1","equal","0","0","0.149605294272952","0.90843504891763"
"1938","14","0.00464158883361278","1","patch","0","0","0.000789921686220829","1.10202388686334"
"1939","14","0.00464158883361278","2.15443469003188","0.5","0","0","0.111547702587592","0.93743205283624"
"1940","14","0.00464158883361278","2.15443469003188","1.5","0.135105238663242","0.00666720672288057","0","0.859896911886787"
"1941","14","0.00464158883361278","2.15443469003188","equal","0","0","0.0320538026697412","1.0180167257474"
"1942","14","0.00464158883361278","2.15443469003188","patch","NaN","NaN","NaN","NaN"
"1943","14","0.00464158883361278","4.64158883361278","0.5","0","0","0.0362350057898218","1.02669592107527"
"1944","14","0.00464158883361278","4.64158883361278","1.5","0","0.0130149754737434","0","0.99394148861244"
"1945","14","0.00464158883361278","4.64158883361278","equal","0","0.00353683162280627","0","1.00418453221979"
"1946","14","0.00464158883361278","4.64158883361278","patch","0.0143648957205188","0.00594576675286473","0","0.988770342399531"
"1947","14","0.01","0.0464158883361278","0.5","0","0.0297886623333693","0.316352778535372","0.654011407582603"
"1948","14","0.01","0.0464158883361278","1.5","0.044365839949898","0.0457790893666193","0.777026400516189","0.132828670167293"
"1949","14","0.01","0.0464158883361278","equal","0.0946118966572782","0.0442689341919259","0.744148032282753","0.116971136868043"
"1950","14","0.01","0.0464158883361278","patch",NA,NA,"NaN",NA
"1951","14","0.01","0.1","0.5","0.0180960441260885","0.00779486532452445","0.264041330619488","0.710067759929899"
